# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.JSON.size.bytes,1747919172529000000,1747919232615000000,339800
lexer.SCSS.time.ns,1747919172529000000,1747919232615000000,11072530
lexer.yaml.time.ns,1747919172529000000,1747919232615000000,1156090
lexer.HTML.size.bytes,1747919172529000000,1747919232615000000,0
parser.HTML.size.bytes,1747919172529000000,1747919232615000000,0
parser.Flow.JS.time.ns,1747919172529000000,1747919232615000000,175919010
writeAction.wait.ms,1747919172529000000,1747919232615000000,639
lexer.TypeScript.time.ns,1747919172529000000,1747919232615000000,216965557
lexer.Markdown.size.bytes,1747919172529000000,1747919232615000000,234
DiskQueryRelay.tasksExecuted,1747919172529000000,1747919232615000000,51837
parser.TypeScript.time.ns,1747919172529000000,1747919232615000000,2335542084
lexer.SCSS.size.bytes,1747919172529000000,1747919232615000000,128330
parser.Markdown.size.bytes,1747919172529000000,1747919232615000000,234
parser.Markdown.time.ns,1747919172529000000,1747919232615000000,8143155
parser.SCSS.size.bytes,1747919172529000000,1747919232615000000,128330
lexer.Flow.JS.time.ns,1747919172529000000,1747919232615000000,29719984
parser.JSON.time.ns,1747919172529000000,1747919232615000000,56032848
parser.TypeScript.size.bytes,1747919172529000000,1747919232615000000,4454756
lexer.JSON.time.ns,1747919172529000000,1747919232615000000,3847575
lexer.TypeScript.size.bytes,1747919172529000000,1747919232615000000,4454756
writeAction.count,1747919172529000000,1747919232615000000,83
parser.Flow.JS.size.bytes,1747919172529000000,1747919232615000000,215143
lexer.Flow.JS.size.bytes,1747919172529000000,1747919232615000000,215143
parser.yaml.time.ns,1747919172529000000,1747919232615000000,3660486
parser.yaml.size.bytes,1747919172529000000,1747919232615000000,18
parser.SCSS.time.ns,1747919172529000000,1747919232615000000,90565742
DiskQueryRelay.tasksRequested,1747919172529000000,1747919232615000000,51837
lexer.Markdown.time.ns,1747919172529000000,1747919232615000000,18777123
lexer.JSON.size.bytes,1747919172529000000,1747919232615000000,339800
lexer.yaml.size.bytes,1747919172529000000,1747919232615000000,18
writeAction.median.wait.ms,1747919172529000000,1747919232615000000,200
parser.HTML.time.ns,1747919172529000000,1747919232615000000,17454391
DiskQueryRelay.taskExecutionTotalTimeUs,1747919172529000000,1747919232615000000,1456180
DiskQueryRelay.taskWaitingTotalTimeUs,1747919172529000000,1747919232615000000,5009735
lexer.HTML.time.ns,1747919172529000000,1747919232615000000,18628449
writeAction.max.wait.ms,1747919172529000000,1747919232615000000,148
cacheStateStorage.get.counter,1747919172529000000,1747919232615000000,21
cacheStateStorage.set.duration,1747919172529000000,1747919232615000000,43
