# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.initBridges.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactManagerBridge.commit.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1748288449089000000,1748288509245000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1748288449089000000,1748288509245000000,0
writeAction.count,1748288449089000000,1748288509245000000,86
writeAction.wait.ms,1748288449089000000,1748288509245000000,110
parser.Dockerfile.time.ns,1748288449089000000,1748288509245000000,1693161
parser.Shell.Script.time.ns,1748288449089000000,1748288509245000000,4479475
lexer.Shell.Script.size.bytes,1748288449089000000,1748288509245000000,756
lexer.PHP.time.ns,1748288449089000000,1748288509245000000,15112062
parser.HTML.size.bytes,1748288449089000000,1748288509245000000,84
lexer.XML.size.bytes,1748288449089000000,1748288509245000000,20078
parser.JSON.size.bytes,1748288449089000000,1748288509245000000,576389
parser.PHP.time.ns,1748288449089000000,1748288509245000000,95773675
parser.yaml.size.bytes,1748288449089000000,1748288509245000000,1154
parser.XML.size.bytes,1748288449089000000,1748288509245000000,20078
parser.PHP.size.bytes,1748288449089000000,1748288509245000000,193319
lexer.JSON.size.bytes,1748288449089000000,1748288509245000000,576389
parser.yaml.time.ns,1748288449089000000,1748288509245000000,4773435
parser.XML.time.ns,1748288449089000000,1748288509245000000,21040105
lexer.Dockerfile.time.ns,1748288449089000000,1748288509245000000,153037
