# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1749573066568000000,1749573067922000000,597
FilePageCache.uncachedFileAccess,1749573066568000000,1749573067922000000,319
FilePageCache.pageLoadsAboveSizeThreshold,1749573066568000000,1749573067922000000,0
FilePageCache.pageFastCacheHits,1749573066568000000,1749573067922000000,11900
StorageLockContext.competingThreads.avg,1749573066568000000,1749573067922000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1749573066568000000,1749573067922000000,0
DirectByteBufferAllocator.misses,1749573066568000000,1749573067922000000,597
FilePageCache.totalPageDisposalsUs,1749573066568000000,1749573067922000000,2915
FilePageCache.totalPageLoadsUs,1749573066568000000,1749573067922000000,350638
FilePageCache.pageHits,1749573066568000000,1749573067922000000,0
DirectByteBufferAllocator.disposed,1749573066568000000,1749573067922000000,597
FilePageCache.maxCacheSizeInBytes,1749573066568000000,1749573067922000000,622854144
DirectByteBufferAllocator.hits,1749573066568000000,1749573067922000000,0
StorageLockContext.competingThreads.max,1749573066568000000,1749573067922000000,0
StorageLockContext.competingThreads.90P,1749573066568000000,1749573067922000000,0
DirectByteBufferAllocator.reclaimed,1749573066568000000,1749573067922000000,0
FilePageCache.capacityInBytes,1749573066568000000,1749573067922000000,629145600
FilePageCache.disposedBuffers,1749573066568000000,1749573067922000000,597
FileChannelInterruptsRetryer.totalRetriedAttempts,1749573066568000000,1749573067922000000,0
FilePageCache.maxRegisteredFiles,1749573066568000000,1749573067922000000,1629
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1749573066568000000,1749573067922000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1749573066568000000,1749573067922000000,0
DiskQueryRelay.tasksRequested,1749573066568000000,1749573067922000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1749573066568000000,1749573067922000000,0
DiskQueryRelay.tasksExecuted,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1749573066568000000,1749573067922000000,0
jps.app.storage.content.reader.load.component.ms,1749573066568000000,1749573067922000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1749573066568000000,1749573067922000000,0
jps.app.storage.content.writer.save.component.ms,1749573066568000000,1749573067922000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1749573066568000000,1749573067922000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1749573066568000000,1749573067922000000,0
jps.global.get.library.by.name.ms,1749573066568000000,1749573067922000000,0
jps.global.get.libraries.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1749573066568000000,1749573067922000000,0
jps.global.initialize.library.bridges.after.loading.ms,1749573066568000000,1749573067922000000,1
workspaceModel.sync.entities.ms,1749573066568000000,1749573067922000000,0
workspaceModel.global.updates.count,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1749573066568000000,1749573067922000000,0
jps.global.handle.changed.events.ms,1749573066568000000,1749573067922000000,0
jps.library.entities.serializer.save.entities.ms,1749573066568000000,1749573067922000000,0
jps.library.entities.serializer.load.entities.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1749573066568000000,1749573067922000000,0
jps.global.handle.before.change.events.ms,1749573066568000000,1749573067922000000,0
workspaceModel.global.apply.state.to.project.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.entities.ms,1749573066568000000,1749573067922000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1749573066568000000,1749573067922000000,0
jps.load.initial.state.ms,1749573066568000000,1749573067922000000,19
jps.global.get.library.ms,1749573066568000000,1749573067922000000,0
jps.save.global.entities.ms,1749573066568000000,1749573067922000000,46
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.instances.count,1749573066568000000,1749573067922000000,1
jps.global.initialize.library.bridges.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1749573066568000000,1749573067922000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1749573066568000000,1749573067922000000,0
workspaceModel.global.updates.ms,1749573066568000000,1749573067922000000,0
cacheStateStorage.set.duration,1749573066568000000,1749573067922000000,95
cacheStateStorage.get.counter,1749573066568000000,1749573067922000000,1
cacheStateStorage.get.duration,1749573066568000000,1749573067922000000,0
cacheStateStorage.set.counter,1749573066568000000,1749573067922000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1749573066568000000,1749573067922000000,2
Indexing.writer_2.totalTimeSpentWritingMs,1749573066568000000,1749573067922000000,0
Indexing.cache.totalCacheAccesses,1749573066568000000,1749573067922000000,0
Indexing.totalTimeIndexersSleptMs,1749573066568000000,1749573067922000000,0
Indexing.cache.totalCacheEvicted,1749573066568000000,1749573067922000000,0
Indexing.writesQueuedMax,1749573066568000000,1749573067922000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1749573066568000000,1749573067922000000,0
Indexing.cache.totalCacheMisses,1749573066568000000,1749573067922000000,0
Indexing.writesQueuedMin,1749573066568000000,1749573067922000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1749573066568000000,1749573067922000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1749573066568000000,1749573067922000000,0
AWTEventQueue.dispatchTimeTotalNS,1749573066568000000,1749573067922000000,94252283
VFS.folderCaseSensitivityReads,1749573066568000000,1749573067922000000,0
VFS.fileByIdCache.hits,1749573066568000000,1749573067922000000,0
VFS.invertedFileNameIndex.requests,1749573066568000000,1749573067922000000,0
VFS.fileByIdCache.misses,1749573066568000000,1749573067922000000,0
VFS.fileChildByName,1749573066568000000,1749573067922000000,0
