# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1748288136457000000,1748288139347000000,0
cacheStateStorage.set.duration,1748288136457000000,1748288139347000000,12
cacheStateStorage.set.counter,1748288136457000000,1748288139347000000,3
cacheStateStorage.get.counter,1748288136457000000,1748288139347000000,3
writeAction.count,1748288136457000000,1748288139347000000,3
DiskQueryRelay.tasksRequested,1748288136457000000,1748288139347000000,3
writeAction.median.wait.ms,1748288136457000000,1748288139347000000,0
writeAction.wait.ms,1748288136457000000,1748288139347000000,5
DiskQueryRelay.taskExecutionTotalTimeUs,1748288136457000000,1748288139347000000,4600
writeAction.max.wait.ms,1748288136457000000,1748288139347000000,5
DiskQueryRelay.taskWaitingTotalTimeUs,1748288136457000000,1748288139347000000,10855
DiskQueryRelay.tasksExecuted,1748288136457000000,1748288139347000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1748288136457000000,1748288139347000000,1
workspaceModel.global.updates.ms,1748288136457000000,1748288139347000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1748288136457000000,1748288139347000000,0
jps.save.global.entities.ms,1748288136457000000,1748288139347000000,57
workspaceModel.mutableEntityStorage.has.same.entities.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.entities.ms,1748288136457000000,1748288139347000000,1
jps.global.initialize.library.bridges.ms,1748288136457000000,1748288139347000000,0
jps.global.handle.changed.events.ms,1748288136457000000,1748288139347000000,0
workspaceModel.sync.entities.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.instances.count,1748288136457000000,1748288139347000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1748288136457000000,1748288139347000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1748288136457000000,1748288139347000000,0
