# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageHits,1747563188200000000,1747563248215000000,0
StreamlinedBlobStorage.recordsDeleted,1747563188200000000,1747563248215000000,10
FilePageCache.capacityInBytes,1747563188200000000,1747563248215000000,629145600
MappedFileStorage.totalPagesMapped,1747563188200000000,1747563248215000000,16
FilePageCache.pageLoads,1747563188200000000,1747563248215000000,602
StreamlinedBlobStorage.recordsRelocated,1747563188200000000,1747563248215000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1747563188200000000,1747563248215000000,145752
FilePageCache.maxRegisteredFiles,1747563188200000000,1747563248215000000,4606
MappedFileStorage.totalBytesMapped,1747563188200000000,1747563248215000000,202637312
FileChannelInterruptsRetryer.totalRetriedAttempts,1747563188200000000,1747563248215000000,0
FilePageCache.maxCacheSizeInBytes,1747563188200000000,1747563248215000000,629145600
FilePageCache.totalPageLoadsUs,1747563188200000000,1747563248215000000,1502970
FilePageCache.uncachedFileAccess,1747563188200000000,1747563248215000000,3242
DirectByteBufferAllocator.reclaimed,1747563188200000000,1747563248215000000,0
DirectByteBufferAllocator.misses,1747563188200000000,1747563248215000000,2276
FilePageCache.pageLoadsAboveSizeThreshold,1747563188200000000,1747563248215000000,1674
StorageLockContext.competingThreads.avg,1747563188200000000,1747563248215000000,0.1694915254237288
FilePageCache.disposedBuffers,1747563188200000000,1747563248215000000,1676
FilePageCache.pageFastCacheHits,1747563188200000000,1747563248215000000,991865
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1747563188200000000,1747563248215000000,1667507
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747563188200000000,1747563248215000000,629145600
FilePageCache.totalPageDisposalsUs,1747563188200000000,1747563248215000000,4084
StorageLockContext.competingThreads.90P,1747563188200000000,1747563248215000000,0
StreamlinedBlobStorage.recordsAllocated,1747563188200000000,1747563248215000000,16336
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747563188200000000,1747563248215000000,879661
StorageLockContext.competingThreads.max,1747563188200000000,1747563248215000000,10
DirectByteBufferAllocator.disposed,1747563188200000000,1747563248215000000,1676
DirectByteBufferAllocator.hits,1747563188200000000,1747563248215000000,0
MappedFileStorage.storages,1747563188200000000,1747563248215000000,16
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747563188200000000,1747563248215000000,0
workspaceModel.initializing.ms,1747563188200000000,1747563248215000000,5
workspaceModel.collect.changes.ms,1747563188200000000,1747563248215000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1747563188200000000,1747563248215000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1747563188200000000,1747563248215000000,0
workspaceModel.pre.handlers.ms,1747563188200000000,1747563248215000000,0
workspaceModel.on.changed.ms,1747563188200000000,1747563248215000000,113
workspaceModel.updates.ms,1747563188200000000,1747563248215000000,33
