# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1749349835071000000,1749349841417000000,1174
FilePageCache.totalPageDisposalsUs,1749349835071000000,1749349841417000000,3654
DirectByteBufferAllocator.reclaimed,1749349835071000000,1749349841417000000,0
FilePageCache.pageHits,1749349835071000000,1749349841417000000,0
FilePageCache.totalPageLoadsUs,1749349835071000000,1749349841417000000,770911
FileChannelInterruptsRetryer.totalRetriedAttempts,1749349835071000000,1749349841417000000,0
FilePageCache.pageLoads,1749349835071000000,1749349841417000000,602
StorageLockContext.competingThreads.max,1749349835071000000,1749349841417000000,0
FilePageCache.capacityInBytes,1749349835071000000,1749349841417000000,629145600
DirectByteBufferAllocator.hits,1749349835071000000,1749349841417000000,0
StorageLockContext.competingThreads.avg,1749349835071000000,1749349841417000000,0.0
FilePageCache.maxCacheSizeInBytes,1749349835071000000,1749349841417000000,629145600
DirectByteBufferAllocator.disposed,1749349835071000000,1749349841417000000,1776
FilePageCache.pageFastCacheHits,1749349835071000000,1749349841417000000,38785
FilePageCache.uncachedFileAccess,1749349835071000000,1749349841417000000,1463
StorageLockContext.competingThreads.90P,1749349835071000000,1749349841417000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1749349835071000000,1749349841417000000,0
DirectByteBufferAllocator.misses,1749349835071000000,1749349841417000000,1776
FilePageCache.disposedBuffers,1749349835071000000,1749349841417000000,1776
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1749349835071000000,1749349841417000000,0
FilePageCache.maxRegisteredFiles,1749349835071000000,1749349841417000000,4603
writeAction.median.wait.ms,1749349835071000000,1749349841417000000,0
parser.Markdown.time.ns,1749349835071000000,1749349841417000000,46739850
lexer.Markdown.size.bytes,1749349835071000000,1749349841417000000,22582
lexer.Markdown.time.ns,1749349835071000000,1749349841417000000,47795880
DiskQueryRelay.tasksRequested,1749349835071000000,1749349841417000000,196
parser.Markdown.size.bytes,1749349835071000000,1749349841417000000,22582
writeAction.count,1749349835071000000,1749349841417000000,27
lexer.HTML.time.ns,1749349835071000000,1749349841417000000,476646
DiskQueryRelay.tasksExecuted,1749349835071000000,1749349841417000000,196
DiskQueryRelay.taskExecutionTotalTimeUs,1749349835071000000,1749349841417000000,131718
parser.HTML.time.ns,1749349835071000000,1749349841417000000,3256432
writeAction.wait.ms,1749349835071000000,1749349841417000000,18
DiskQueryRelay.taskWaitingTotalTimeUs,1749349835071000000,1749349841417000000,145309
lexer.HTML.size.bytes,1749349835071000000,1749349841417000000,0
parser.HTML.size.bytes,1749349835071000000,1749349841417000000,0
writeAction.max.wait.ms,1749349835071000000,1749349841417000000,9
NonBlockingReadAction.failedExecutionsCount,1749349835071000000,1749349841417000000,1
NonBlockingReadAction.failedExecutionTimeUs,1749349835071000000,1749349841417000000,7741
NonBlockingReadAction.finalizedExecutionTimeUs,1749349835071000000,1749349841417000000,361839
NonBlockingReadAction.finalizedExecutionsCount,1749349835071000000,1749349841417000000,155
AWTEventQueue.dispatchTimeTotalNS,1749349835071000000,1749349841417000000,1189721999
Indexing.cache.totalCacheMisses,1749349835071000000,1749349841417000000,1910
Indexes.stubs.lookupDurationAvgMs,1749349835071000000,1749349841417000000,0.0
Indexes.allKeys.lookupDuration90PMs,1749349835071000000,1749349841417000000,0.0
Indexes.stubs.lookupDurationMaxMs,1749349835071000000,1749349841417000000,0.0
Indexes.allKeys.lookups,1749349835071000000,1749349841417000000,1
Indexing.writer_0.totalTimeSpentWritingMs,1749349835071000000,1749349841417000000,6
Indexing.totalTimeIndexersSleptMs,1749349835071000000,1749349841417000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1749349835071000000,1749349841417000000,9
Indexing.cache.totalCacheEvicted,1749349835071000000,1749349841417000000,1910
Indexes.stubs.lookups,1749349835071000000,1749349841417000000,32
Indexes.entries.lookupDuration90PMs,1749349835071000000,1749349841417000000,0.0
Indexes.entries.lookupDurationMaxMs,1749349835071000000,1749349841417000000,0.0
Indexes.stubs.lookupDuration90PMs,1749349835071000000,1749349841417000000,0.0
Indexes.entries.lookupDurationAvgMs,1749349835071000000,1749349841417000000,0.0
Indexes.entries.lookups,1749349835071000000,1749349841417000000,8
Indexes.allKeys.lookupDurationMaxMs,1749349835071000000,1749349841417000000,0.0
Indexing.writesQueuedMin,1749349835071000000,1749349841417000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1749349835071000000,1749349841417000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1749349835071000000,1749349841417000000,3
Indexes.allKeys.lookupDurationAvgMs,1749349835071000000,1749349841417000000,0.0
Indexing.writesQueuedMax,1749349835071000000,1749349841417000000,0
Indexing.cache.totalCacheAccesses,1749349835071000000,1749349841417000000,4824
workspaceModel.workspaceFileIndexData.markDirty.ms,1749349835071000000,1749349841417000000,0
workspaceModel.check.recursive.update.ms,1749349835071000000,1749349841417000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1749349835071000000,1749349841417000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1749349835071000000,1749349841417000000,0
workspaceModel.loading.total.ms,1749349835071000000,1749349841417000000,109
workspaceModel.init.bridges.ms,1749349835071000000,1749349841417000000,5
workspaceModel.cachedValueWithParameters.calculated.count,1749349835071000000,1749349841417000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1749349835071000000,1749349841417000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1749349835071000000,1749349841417000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1749349835071000000,1749349841417000000,93
workspaceModel.cachedValue.total.get.count,1749349835071000000,1749349841417000000,76
workspaceModel.updates.ms,1749349835071000000,1749349841417000000,85
workspaceModel.loading.from.cache.ms,1749349835071000000,1749349841417000000,102
workspaceModel.cachedValue.clear.count,1749349835071000000,1749349841417000000,0
workspaceModel.to.snapshot.ms,1749349835071000000,1749349841417000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1749349835071000000,1749349841417000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1749349835071000000,1749349841417000000,178
workspaceModel.workspaceFileIndexData.init.ms,1749349835071000000,1749349841417000000,49
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1749349835071000000,1749349841417000000,0
workspaceModel.cachedValue.calculated.count,1749349835071000000,1749349841417000000,5
workspaceModel.replace.project.model.ms,1749349835071000000,1749349841417000000,0
workspaceModel.updates.precise.ms,1749349835071000000,1749349841417000000,10
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1749349835071000000,1749349841417000000,0
workspaceModel.on.changed.ms,1749349835071000000,1749349841417000000,44
workspaceModel.initializing.ms,1749349835071000000,1749349841417000000,5
workspaceModel.updates.count,1749349835071000000,1749349841417000000,3
workspaceModel.cachedValueWithParameters.total.get.count,1749349835071000000,1749349841417000000,0
workspaceModel.full.replace.project.model.ms,1749349835071000000,1749349841417000000,0
workspaceModel.update.unloaded.entities.ms,1749349835071000000,1749349841417000000,0
