# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1748787085834000000,1748787131393000000,2700544246
NonBlockingReadAction.failedExecutionTimeUs,1748787085834000000,1748787131393000000,1413097
NonBlockingReadAction.finalizedExecutionsCount,1748787085834000000,1748787131393000000,190
NonBlockingReadAction.finalizedExecutionTimeUs,1748787085834000000,1748787131393000000,722293
NonBlockingReadAction.failedExecutionsCount,1748787085834000000,1748787131393000000,23
workspaceModel.updates.count,1748787085834000000,1748787131393000000,5
workspaceModel.cachedValue.calculated.count,1748787085834000000,1748787131393000000,16
workspaceModel.workspaceFileIndexData.processFileSets.ms,1748787085834000000,1748787131393000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1748787085834000000,1748787131393000000,0
workspaceModel.on.before.changed.ms,1748787085834000000,1748787131393000000,51
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1748787085834000000,1748787131393000000,164
workspaceModel.workspaceFileIndexData.instances.count,1748787085834000000,1748787131393000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1748787085834000000,1748787131393000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1748787085834000000,1748787131393000000,5
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1748787085834000000,1748787131393000000,19
workspaceModel.cachedValueWithParameters.clear.count,1748787085834000000,1748787131393000000,0
workspaceModel.initializing.ms,1748787085834000000,1748787131393000000,11
workspaceModel.loading.total.ms,1748787085834000000,1748787131393000000,23
workspaceModel.pre.handlers.ms,1748787085834000000,1748787131393000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1748787085834000000,1748787131393000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1748787085834000000,1748787131393000000,58
workspaceModel.loading.from.cache.ms,1748787085834000000,1748787131393000000,17
workspaceModel.on.changed.ms,1748787085834000000,1748787131393000000,89
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1748787085834000000,1748787131393000000,0
workspaceModel.updates.ms,1748787085834000000,1748787131393000000,65
workspaceModel.full.replace.project.model.ms,1748787085834000000,1748787131393000000,129
workspaceModel.cachedValue.total.get.count,1748787085834000000,1748787131393000000,756
workspaceModel.workspaceFileIndexData.markDirty.ms,1748787085834000000,1748787131393000000,0
workspaceModel.cachedValue.clear.count,1748787085834000000,1748787131393000000,0
workspaceModel.collect.changes.ms,1748787085834000000,1748787131393000000,0
workspaceModel.check.recursive.update.ms,1748787085834000000,1748787131393000000,0
workspaceModel.cachedValue.from.cache.count,1748787085834000000,1748787131393000000,740
workspaceModel.init.bridges.ms,1748787085834000000,1748787131393000000,16
workspaceModel.workspaceFileIndexData.getPackageName.ms,1748787085834000000,1748787131393000000,0
workspaceModel.workspaceFileIndexData.init.ms,1748787085834000000,1748787131393000000,21
workspaceModel.to.snapshot.ms,1748787085834000000,1748787131393000000,2
workspaceModel.replace.project.model.ms,1748787085834000000,1748787131393000000,0
workspaceModel.updates.precise.ms,1748787085834000000,1748787131393000000,13
workspaceModel.entityStorageSnapshotImpl.instances.count,1748787085834000000,1748787131393000000,22
workspaceModel.update.unloaded.entities.ms,1748787085834000000,1748787131393000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1748787085834000000,1748787131393000000,0
lexer.RELAX-NG.size.bytes,1748787085834000000,1748787131393000000,101297
lexer.ECMAScript.6.time.ns,1748787085834000000,1748787131393000000,1158192
lexer.JSON.size.bytes,1748787085834000000,1748787131393000000,6008
parser.ECMAScript.6.time.ns,1748787085834000000,1748787131393000000,32554787
parser.TypeScript.size.bytes,1748787085834000000,1748787131393000000,8243269
lexer.TypeScript.size.bytes,1748787085834000000,1748787131393000000,8242497
lexer.CSS.time.ns,1748787085834000000,1748787131393000000,18950282
parser.CSS.size.bytes,1748787085834000000,1748787131393000000,187230
lexer.RELAX-NG.time.ns,1748787085834000000,1748787131393000000,13034189
parser.RELAX-NG.size.bytes,1748787085834000000,1748787131393000000,101297
parser.TypeScript.time.ns,1748787085834000000,1748787131393000000,4302914332
writeAction.wait.ms,1748787085834000000,1748787131393000000,775
parser.XML.time.ns,1748787085834000000,1748787131393000000,1718202
parser.RELAX-NG.time.ns,1748787085834000000,1748787131393000000,18359387
writeAction.count,1748787085834000000,1748787131393000000,71
writeAction.median.wait.ms,1748787085834000000,1748787131393000000,600
parser.HTML.size.bytes,1748787085834000000,1748787131393000000,1400
writeAction.max.wait.ms,1748787085834000000,1748787131393000000,217
parser.XML.size.bytes,1748787085834000000,1748787131393000000,20
parser.CSS.time.ns,1748787085834000000,1748787131393000000,116114074
DiskQueryRelay.taskExecutionTotalTimeUs,1748787085834000000,1748787131393000000,215295
lexer.XML.size.bytes,1748787085834000000,1748787131393000000,20
parser.JSON.time.ns,1748787085834000000,1748787131393000000,15374786
parser.JSON.size.bytes,1748787085834000000,1748787131393000000,6008
lexer.JSON.time.ns,1748787085834000000,1748787131393000000,1067974
DiskQueryRelay.tasksRequested,1748787085834000000,1748787131393000000,336
lexer.HTML.size.bytes,1748787085834000000,1748787131393000000,1400
lexer.XML.time.ns,1748787085834000000,1748787131393000000,148833
lexer.HTML.time.ns,1748787085834000000,1748787131393000000,1848011
lexer.TypeScript.time.ns,1748787085834000000,1748787131393000000,432842436
parser.HTML.time.ns,1748787085834000000,1748787131393000000,21007069
lexer.CSS.size.bytes,1748787085834000000,1748787131393000000,187230
lexer.ECMAScript.6.size.bytes,1748787085834000000,1748787131393000000,16561
DiskQueryRelay.tasksExecuted,1748787085834000000,1748787131393000000,336
DiskQueryRelay.taskWaitingTotalTimeUs,1748787085834000000,1748787131393000000,258399
parser.ECMAScript.6.size.bytes,1748787085834000000,1748787131393000000,16561
VFS.folderCaseSensitivityReads,1748787085834000000,1748787131393000000,0
VFS.fileByIdCache.hits,1748787085834000000,1748787131393000000,6
VFS.invertedFileNameIndex.requests,1748787085834000000,1748787131393000000,294
VFS.fileChildByName,1748787085834000000,1748787131393000000,68322
VFS.fileByIdCache.misses,1748787085834000000,1748787131393000000,7232
DirectByteBufferAllocator.hits,1748787085834000000,1748787131393000000,0
FilePageCache.uncachedFileAccess,1748787085834000000,1748787131393000000,2156
StorageLockContext.competingThreads.90P,1748787085834000000,1748787131393000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1748787085834000000,1748787131393000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1748787085834000000,1748787131393000000,1819
FilePageCache.totalPageDisposalsUs,1748787085834000000,1748787131393000000,3848
DirectByteBufferAllocator.reclaimed,1748787085834000000,1748787131393000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1748787085834000000,1748787131393000000,0
FilePageCache.totalPageLoadsUs,1748787085834000000,1748787131393000000,1072070
FilePageCache.pageLoads,1748787085834000000,1748787131393000000,602
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1748787085834000000,1748787131393000000,0
FilePageCache.pageFastCacheHits,1748787085834000000,1748787131393000000,2488154
DirectByteBufferAllocator.disposed,1748787085834000000,1748787131393000000,2421
FilePageCache.maxCacheSizeInBytes,1748787085834000000,1748787131393000000,629145600
DirectByteBufferAllocator.misses,1748787085834000000,1748787131393000000,2421
StorageLockContext.competingThreads.avg,1748787085834000000,1748787131393000000,0.0
StorageLockContext.competingThreads.max,1748787085834000000,1748787131393000000,0
FilePageCache.maxRegisteredFiles,1748787085834000000,1748787131393000000,4606
FilePageCache.capacityInBytes,1748787085834000000,1748787131393000000,629145600
FilePageCache.pageHits,1748787085834000000,1748787131393000000,330587
FilePageCache.disposedBuffers,1748787085834000000,1748787131393000000,2421
cacheStateStorage.set.duration,1748787085834000000,1748787131393000000,16
cacheStateStorage.get.counter,1748787085834000000,1748787131393000000,20
cacheStateStorage.get.duration,1748787085834000000,1748787131393000000,0
cacheStateStorage.set.counter,1748787085834000000,1748787131393000000,28
Indexing.writesQueuedMin,1748787085834000000,1748787131393000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1748787085834000000,1748787131393000000,219
Indexing.writesQueuedMax,1748787085834000000,1748787131393000000,0
Indexing.totalTimeIndexersSleptMs,1748787085834000000,1748787131393000000,0
Indexes.allKeys.lookupDurationAvgMs,1748787085834000000,1748787131393000000,0.0
Indexing.cache.totalCacheMisses,1748787085834000000,1748787131393000000,1047441
Indexes.stubs.lookupDuration90PMs,1748787085834000000,1748787131393000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1748787085834000000,1748787131393000000,0.0
Indexes.stubs.lookups,1748787085834000000,1748787131393000000,528
Indexes.entries.lookupDurationAvgMs,1748787085834000000,1748787131393000000,0.0
Indexes.entries.lookups,1748787085834000000,1748787131393000000,66
Indexes.allKeys.lookups,1748787085834000000,1748787131393000000,5
Indexing.writer_2.totalTimeSpentWritingMs,1748787085834000000,1748787131393000000,1294
Indexes.entries.lookupDurationMaxMs,1748787085834000000,1748787131393000000,0.0
Indexes.allKeys.lookupDuration90PMs,1748787085834000000,1748787131393000000,0.0
Indexing.cache.totalCacheAccesses,1748787085834000000,1748787131393000000,4933928
Indexes.entries.lookupDuration90PMs,1748787085834000000,1748787131393000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1748787085834000000,1748787131393000000,709
Indexing.writer_0.totalTimeSpentWritingMs,1748787085834000000,1748787131393000000,817
Indexing.cache.totalCacheEvicted,1748787085834000000,1748787131393000000,1047441
Indexes.stubs.lookupDurationAvgMs,1748787085834000000,1748787131393000000,0.0
Indexes.stubs.lookupDurationMaxMs,1748787085834000000,1748787131393000000,0.0
compiler.ArtifactManagerBridge.findArtifact.ms,1748787085834000000,1748787131393000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1748787085834000000,1748787131393000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1748787085834000000,1748787131393000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1748787085834000000,1748787131393000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1748787085834000000,1748787131393000000,0
