# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1747118408808000000,1747118468848000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1747118408808000000,1747118468848000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747118408808000000,1747118468848000000,0
jps.global.handle.changed.events.ms,1747118408808000000,1747118468848000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747118408808000000,1747118468848000000,2
jps.global.get.library.ms,1747118408808000000,1747118468848000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747118408808000000,1747118468848000000,136
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747118408808000000,1747118468848000000,2
jps.library.entities.serializer.load.entities.ms,1747118408808000000,1747118468848000000,1
workspaceModel.moduleBridge.before.changed.ms,1747118408808000000,1747118468848000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747118408808000000,1747118468848000000,6
workspaceModel.mutableEntityStorage.collect.changes.ms,1747118408808000000,1747118468848000000,1
workspaceModel.load.cache.metadata.from.file.ms,1747118408808000000,1747118468848000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747118408808000000,1747118468848000000,1
jps.artifact.entities.serializer.save.entities.ms,1747118408808000000,1747118468848000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1747118408808000000,1747118468848000000,13
jps.module.iml.entities.serializer.save.entities.ms,1747118408808000000,1747118468848000000,9
jps.global.initialize.library.bridges.after.loading.ms,1747118408808000000,1747118468848000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747118408808000000,1747118468848000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1747118408808000000,1747118468848000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747118408808000000,1747118468848000000,1
jps.artifact.entities.serializer.load.entities.ms,1747118408808000000,1747118468848000000,0
jps.load.project.to.empty.storage.ms,1747118408808000000,1747118468848000000,68
workspaceModel.delayed.project.synchronizer.sync.ms,1747118408808000000,1747118468848000000,0
jps.facet.change.listener.process.change.events.ms,1747118408808000000,1747118468848000000,0
