# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.clear.count,1748812567141000000,1748812627253000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1748812567141000000,1748812627253000000,16
workspaceModel.updates.ms,1748812567141000000,1748812627253000000,69
workspaceModel.workspaceFileIndexData.instances.count,1748812567141000000,1748812627253000000,1
workspaceModel.on.changed.ms,1748812567141000000,1748812627253000000,57
workspaceModel.updates.precise.ms,1748812567141000000,1748812627253000000,20
workspaceModel.on.before.changed.ms,1748812567141000000,1748812627253000000,53
workspaceModel.cachedValueWithParameters.from.cache.count,1748812567141000000,1748812627253000000,0
workspaceModel.to.snapshot.ms,1748812567141000000,1748812627253000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1748812567141000000,1748812627253000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1748812567141000000,1748812627253000000,0
workspaceModel.cachedValueWithParameters.clear.count,1748812567141000000,1748812627253000000,0
workspaceModel.full.replace.project.model.ms,1748812567141000000,1748812627253000000,96
workspaceModel.update.unloaded.entities.ms,1748812567141000000,1748812627253000000,0
workspaceModel.initializing.ms,1748812567141000000,1748812627253000000,10
workspaceModel.workspaceFileIndexData.init.ms,1748812567141000000,1748812627253000000,5
workspaceModel.loading.from.cache.ms,1748812567141000000,1748812627253000000,22
workspaceModel.cachedValueWithParameters.total.get.count,1748812567141000000,1748812627253000000,0
workspaceModel.cachedValue.total.get.count,1748812567141000000,1748812627253000000,201
workspaceModel.updates.count,1748812567141000000,1748812627253000000,5
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1748812567141000000,1748812627253000000,23
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1748812567141000000,1748812627253000000,173
workspaceModel.check.recursive.update.ms,1748812567141000000,1748812627253000000,0
workspaceModel.cachedValue.calculated.count,1748812567141000000,1748812627253000000,14
workspaceModel.init.bridges.ms,1748812567141000000,1748812627253000000,14
workspaceModel.workspaceFileIndexData.processFileSets.ms,1748812567141000000,1748812627253000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1748812567141000000,1748812627253000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1748812567141000000,1748812627253000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1748812567141000000,1748812627253000000,22
workspaceModel.workspaceFileIndexData.getPackageName.ms,1748812567141000000,1748812627253000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1748812567141000000,1748812627253000000,0
workspaceModel.cachedValue.from.cache.count,1748812567141000000,1748812627253000000,187
workspaceModel.replace.project.model.ms,1748812567141000000,1748812627253000000,0
workspaceModel.loading.total.ms,1748812567141000000,1748812627253000000,29
workspaceModel.pre.handlers.ms,1748812567141000000,1748812627253000000,1
workspaceModel.collect.changes.ms,1748812567141000000,1748812627253000000,0
parser.JSON.time.ns,1748812567141000000,1748812627253000000,23611771
parser.JSON.size.bytes,1748812567141000000,1748812627253000000,1475
DiskQueryRelay.tasksRequested,1748812567141000000,1748812627253000000,51826
DiskQueryRelay.taskWaitingTotalTimeUs,1748812567141000000,1748812627253000000,6071154
parser.SCSS.time.ns,1748812567141000000,1748812627253000000,188519709
parser.HTML.size.bytes,1748812567141000000,1748812627253000000,12618
lexer.Flow.JS.size.bytes,1748812567141000000,1748812627253000000,140172
lexer.JSON.time.ns,1748812567141000000,1748812627253000000,6346155
writeAction.wait.ms,1748812567141000000,1748812627253000000,561
parser.TypeScript.size.bytes,1748812567141000000,1748812627253000000,5763310
DiskQueryRelay.taskExecutionTotalTimeUs,1748812567141000000,1748812627253000000,1865244
lexer.Flow.JS.time.ns,1748812567141000000,1748812627253000000,28642374
writeAction.count,1748812567141000000,1748812627253000000,48
parser.Flow.JS.size.bytes,1748812567141000000,1748812627253000000,140172
lexer.HTML.time.ns,1748812567141000000,1748812627253000000,19106667
parser.SCSS.size.bytes,1748812567141000000,1748812627253000000,128330
lexer.TypeScript.time.ns,1748812567141000000,1748812627253000000,293054780
lexer.TypeScript.size.bytes,1748812567141000000,1748812627253000000,5763023
parser.ECMAScript.6.size.bytes,1748812567141000000,1748812627253000000,11406
DiskQueryRelay.tasksExecuted,1748812567141000000,1748812627253000000,51826
parser.CSS.time.ns,1748812567141000000,1748812627253000000,37560871
parser.CSS.size.bytes,1748812567141000000,1748812627253000000,4482
parser.ECMAScript.6.time.ns,1748812567141000000,1748812627253000000,4552775
lexer.CSS.time.ns,1748812567141000000,1748812627253000000,1645457
lexer.CSS.size.bytes,1748812567141000000,1748812627253000000,4482
writeAction.median.wait.ms,1748812567141000000,1748812627253000000,300
lexer.JSON.size.bytes,1748812567141000000,1748812627253000000,1475
writeAction.max.wait.ms,1748812567141000000,1748812627253000000,158
lexer.SCSS.time.ns,1748812567141000000,1748812627253000000,18128939
parser.HTML.time.ns,1748812567141000000,1748812627253000000,34737470
lexer.HTML.size.bytes,1748812567141000000,1748812627253000000,12618
parser.Flow.JS.time.ns,1748812567141000000,1748812627253000000,158371616
parser.TypeScript.time.ns,1748812567141000000,1748812627253000000,3187763679
lexer.SCSS.size.bytes,1748812567141000000,1748812627253000000,128330
WriteAction.executionsCount,1748812567141000000,1748812627253000000,48
ReadAction.executionsCount,1748812567141000000,1748812627253000000,12101
FlushQueue.executionTimeAvgNs,1748812567141000000,1748812627253000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1748812567141000000,1748812627253000000,179
FlushQueue.waitingTimeAvgNs,1748812567141000000,1748812627253000000,0.0
FlushQueue.queueSize90P,1748812567141000000,1748812627253000000,0
FlushQueue.executionTime90PNs,1748812567141000000,1748812627253000000,0
FlushQueue.tasksExecuted,1748812567141000000,1748812627253000000,0
FlushQueue.queueSizeMax,1748812567141000000,1748812627253000000,0
FlushQueue.waitingTime90PNs,1748812567141000000,1748812627253000000,0
NonBlockingReadAction.failedExecutionTimeUs,1748812567141000000,1748812627253000000,212686
AWTEventQueue.eventsDispatched,1748812567141000000,1748812627253000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1748812567141000000,1748812627253000000,429490
FlushQueue.queueSizeAvg,1748812567141000000,1748812627253000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1748812567141000000,1748812627253000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1748812567141000000,1748812627253000000,2273816389
AWTEventQueue.dispatchTimeMaxNs,1748812567141000000,1748812627253000000,0
AWTEventQueue.dispatchTime90PNs,1748812567141000000,1748812627253000000,0
NonBlockingReadAction.failedExecutionsCount,1748812567141000000,1748812627253000000,2
FlushQueue.waitingTimeMaxNs,1748812567141000000,1748812627253000000,0
FlushQueue.executionTimeMaxNs,1748812567141000000,1748812627253000000,0
FilePageCache.pageLoads,1748812567141000000,1748812627253000000,602
FileChannelInterruptsRetryer.totalRetriedAttempts,1748812567141000000,1748812627253000000,0
StreamlinedBlobStorage.recordsRelocated,1748812567141000000,1748812627253000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1748812567141000000,1748812627253000000,629145600
FilePageCache.maxRegisteredFiles,1748812567141000000,1748812627253000000,4606
MappedFileStorage.totalTimeSpentOnMappingUs,1748812567141000000,1748812627253000000,15564
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1748812567141000000,1748812627253000000,0
StreamlinedBlobStorage.recordsAllocated,1748812567141000000,1748812627253000000,7962
DirectByteBufferAllocator.reclaimed,1748812567141000000,1748812627253000000,0
StorageLockContext.competingThreads.max,1748812567141000000,1748812627253000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1748812567141000000,1748812627253000000,1144175
FilePageCache.disposedBuffers,1748812567141000000,1748812627253000000,1524
FilePageCache.totalPageLoadsUs,1748812567141000000,1748812627253000000,1162085
StreamlinedBlobStorage.recordsDeleted,1748812567141000000,1748812627253000000,30
MappedFileStorage.totalBytesMapped,1748812567141000000,1748812627253000000,198443008
StorageLockContext.competingThreads.avg,1748812567141000000,1748812627253000000,0.0
FilePageCache.uncachedFileAccess,1748812567141000000,1748812627253000000,2046
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1748812567141000000,1748812627253000000,607570
FilePageCache.maxCacheSizeInBytes,1748812567141000000,1748812627253000000,629145600
DirectByteBufferAllocator.hits,1748812567141000000,1748812627253000000,0
FilePageCache.pageFastCacheHits,1748812567141000000,1748812627253000000,647716
FilePageCache.capacityInBytes,1748812567141000000,1748812627253000000,629145600
MappedFileStorage.storages,1748812567141000000,1748812627253000000,15
DirectByteBufferAllocator.disposed,1748812567141000000,1748812627253000000,1524
FilePageCache.pageLoadsAboveSizeThreshold,1748812567141000000,1748812627253000000,1522
DirectByteBufferAllocator.misses,1748812567141000000,1748812627253000000,2124
MappedFileStorage.totalPagesMapped,1748812567141000000,1748812627253000000,15
StorageLockContext.competingThreads.90P,1748812567141000000,1748812627253000000,0
FilePageCache.totalPageDisposalsUs,1748812567141000000,1748812627253000000,4120
FilePageCache.pageHits,1748812567141000000,1748812627253000000,0
FileNameCache.queries,1748812567141000000,1748812627253000000,2759616
VFS.contentStorage.recordsDecompressionTimeUs,1748812567141000000,1748812627253000000,4392
VFS.contentStorage.recordsStoredCompressed,1748812567141000000,1748812627253000000,0
VFS.folderCaseSensitivityReads,1748812567141000000,1748812627253000000,0
VFS.fileByIdCache.misses,1748812567141000000,1748812627253000000,8749
VFS.contentStorage.recordsUncompressedSize,1748812567141000000,1748812627253000000,3719
VFS.invertedFileNameIndex.requests,1748812567141000000,1748812627253000000,18
VFS.contentStorage.recordsReadDecompressed,1748812567141000000,1748812627253000000,11
VFS.fileByIdCache.hits,1748812567141000000,1748812627253000000,7
VFS.fileChildByName,1748812567141000000,1748812627253000000,38580
FileNameCache.totalMisses,1748812567141000000,1748812627253000000,1024
VFS.contentStorage.recordsRead,1748812567141000000,1748812627253000000,34
VFS.contentStorage.recordsDeduplicated,1748812567141000000,1748812627253000000,55
VFS.contentStorage.recordsReadSize,1748812567141000000,1748812627253000000,238789
VFS.contentStorage.recordsStoredSize,1748812567141000000,1748812627253000000,3719
VFS.contentStorage.recordsStored,1748812567141000000,1748812627253000000,5
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactManagerBridge.commit.ms,1748812567141000000,1748812627253000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1748812567141000000,1748812627253000000,0
cacheStateStorage.get.counter,1748812567141000000,1748812627253000000,20
cacheStateStorage.set.duration,1748812567141000000,1748812627253000000,60
cacheStateStorage.get.duration,1748812567141000000,1748812627253000000,0
