# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1747161590897000000,1747161650912000000,395954
AWTEventQueue.dispatchTimeTotalNS,1747161590897000000,1747161650912000000,7268944700
AWTEventQueue.dispatchTimeAvgNs,1747161590897000000,1747161650912000000,5145950.448690729
FlushQueue.waitingTime90PNs,1747161590897000000,1747161650912000000,30539775
FlushQueue.tasksExecuted,1747161590897000000,1747161650912000000,2600
NonBlockingReadAction.finalizedExecutionTimeUs,1747161590897000000,1747161650912000000,740741
FlushQueue.queueSizeMax,1747161590897000000,1747161650912000000,34
WriteAction.executionsCount,1747161590897000000,1747161650912000000,220
FlushQueue.waitingTimeAvgNs,1747161590897000000,1747161650912000000,1.781842808153846E7
AWTEventQueue.dispatchTime90PNs,1747161590897000000,1747161650912000000,6651903
NonBlockingReadAction.failedExecutionsCount,1747161590897000000,1747161650912000000,9
NonBlockingReadAction.finalizedExecutionsCount,1747161590897000000,1747161650912000000,440
FlushQueue.executionTimeMaxNs,1747161590897000000,1747161650912000000,7046430719
FlushQueue.executionTimeAvgNs,1747161590897000000,1747161650912000000,6056113.461153846
FlushQueue.queueSize90P,1747161590897000000,1747161650912000000,9
FlushQueue.queueSizeAvg,1747161590897000000,1747161650912000000,2.8826923076923077
FlushQueue.waitingTimeMaxNs,1747161590897000000,1747161650912000000,620756991
FlushQueue.executionTime90PNs,1747161590897000000,1747161650912000000,1482751
ReadAction.executionsCount,1747161590897000000,1747161650912000000,221677
AWTEventQueue.eventsDispatched,1747161590897000000,1747161650912000000,1413
AWTEventQueue.dispatchTimeMaxNs,1747161590897000000,1747161650912000000,637534207
cacheStateStorage.set.counter,1747161590897000000,1747161650912000000,22
cacheStateStorage.set.duration,1747161590897000000,1747161650912000000,23
cacheStateStorage.get.duration,1747161590897000000,1747161650912000000,113
cacheStateStorage.get.counter,1747161590897000000,1747161650912000000,22
FilePageCache.maxRegisteredFiles,1747161590897000000,1747161650912000000,4609
MappedFileStorage.storages,1747161590897000000,1747161650912000000,15
FilePageCache.totalPageDisposalsUs,1747161590897000000,1747161650912000000,4519
FilePageCache.pageFastCacheHits,1747161590897000000,1747161650912000000,6892001
FilePageCache.totalPageLoadsUs,1747161590897000000,1747161650912000000,1415907
StreamlinedBlobStorage.recordsDeleted,1747161590897000000,1747161650912000000,7
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1747161590897000000,1747161650912000000,2381139
StorageLockContext.competingThreads.avg,1747161590897000000,1747161650912000000,0.5172413793103449
FileChannelInterruptsRetryer.totalRetriedAttempts,1747161590897000000,1747161650912000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747161590897000000,1747161650912000000,0
StorageLockContext.competingThreads.90P,1747161590897000000,1747161650912000000,1
DirectByteBufferAllocator.disposed,1747161590897000000,1747161650912000000,1662
FilePageCache.maxCacheSizeInBytes,1747161590897000000,1747161650912000000,629145600
DirectByteBufferAllocator.misses,1747161590897000000,1747161650912000000,2262
FilePageCache.uncachedFileAccess,1747161590897000000,1747161650912000000,3213
DirectByteBufferAllocator.reclaimed,1747161590897000000,1747161650912000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1747161590897000000,1747161650912000000,1660
FilePageCache.pageHits,1747161590897000000,1747161650912000000,346040
StreamlinedBlobStorage.recordsRelocated,1747161590897000000,1747161650912000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1747161590897000000,1747161650912000000,217297
FilePageCache.capacityInBytes,1747161590897000000,1747161650912000000,629145600
FilePageCache.disposedBuffers,1747161590897000000,1747161650912000000,1662
MappedFileStorage.totalBytesMapped,1747161590897000000,1747161650912000000,198443008
StorageLockContext.competingThreads.max,1747161590897000000,1747161650912000000,11
StreamlinedBlobStorage.recordsAllocated,1747161590897000000,1747161650912000000,33333
MappedFileStorage.totalPagesMapped,1747161590897000000,1747161650912000000,15
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747161590897000000,1747161650912000000,629145600
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747161590897000000,1747161650912000000,494728
DirectByteBufferAllocator.hits,1747161590897000000,1747161650912000000,0
FilePageCache.pageLoads,1747161590897000000,1747161650912000000,602
VFS.contentStorage.recordsUncompressedSize,1747161590897000000,1747161650912000000,1687607
VFS.folderCaseSensitivityReads,1747161590897000000,1747161650912000000,0
VFS.contentStorage.recordsReadSize,1747161590897000000,1747161650912000000,2164825
VFS.contentStorage.recordsReadDecompressed,1747161590897000000,1747161650912000000,60
VFS.contentStorage.recordsStoredCompressed,1747161590897000000,1747161650912000000,50
VFS.invertedFileNameIndex.requests,1747161590897000000,1747161650912000000,36
VFS.contentStorage.recordsDeduplicated,1747161590897000000,1747161650912000000,23
VFS.fileByIdCache.hits,1747161590897000000,1747161650912000000,11
VFS.contentStorage.recordsStored,1747161590897000000,1747161650912000000,303
VFS.fileByIdCache.misses,1747161590897000000,1747161650912000000,367
VFS.contentStorage.recordsStoredSize,1747161590897000000,1747161650912000000,1028300
VFS.contentStorage.recordsDecompressionTimeUs,1747161590897000000,1747161650912000000,24069
