# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1749423600919000000,1749423658623000000,1516031000
NonBlockingReadAction.failedExecutionsCount,1749423600919000000,1749423658623000000,1
NonBlockingReadAction.failedExecutionTimeUs,1749423600919000000,1749423658623000000,9851
NonBlockingReadAction.finalizedExecutionTimeUs,1749423600919000000,1749423658623000000,76772
NonBlockingReadAction.finalizedExecutionsCount,1749423600919000000,1749423658623000000,155
jps.global.handle.changed.events.ms,1749423600919000000,1749423658623000000,0
workspaceModel.sync.entities.ms,1749423600919000000,1749423658623000000,0
jps.app.storage.content.writer.save.component.ms,1749423600919000000,1749423658623000000,1
jps.global.initialize.library.bridges.after.loading.ms,1749423600919000000,1749423658623000000,0
jps.facet.change.listener.init.bridge.ms,1749423600919000000,1749423658623000000,0
jps.project.serializers.load.ms,1749423600919000000,1749423658623000000,40
workspaceModel.save.cache.to.file.ms,1749423600919000000,1749423658623000000,484
jps.app.storage.content.reader.load.component.ms,1749423600919000000,1749423658623000000,1
workspaceModel.global.updates.count,1749423600919000000,1749423658623000000,0
jps.global.get.libraries.ms,1749423600919000000,1749423658623000000,0
workspaceModel.load.cache.metadata.from.file.ms,1749423600919000000,1749423658623000000,21
jps.load.project.to.empty.storage.ms,1749423600919000000,1749423658623000000,84
workspaceModel.moduleBridge.before.changed.ms,1749423600919000000,1749423658623000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1749423600919000000,1749423658623000000,299
jps.global.get.library.by.name.ms,1749423600919000000,1749423658623000000,0
workspaceModel.moduleBridge.update.option.ms,1749423600919000000,1749423658623000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1749423600919000000,1749423658623000000,45
jps.artifact.entities.serializer.save.entities.ms,1749423600919000000,1749423658623000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1749423600919000000,1749423658623000000,0
workspaceModel.load.cache.from.file.ms,1749423600919000000,1749423658623000000,193
workspaceModel.delayed.project.synchronizer.sync.ms,1749423600919000000,1749423658623000000,110
jps.global.initialize.library.bridges.ms,1749423600919000000,1749423658623000000,0
workspaceModel.global.updates.ms,1749423600919000000,1749423658623000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1749423600919000000,1749423658623000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1749423600919000000,1749423658623000000,0
jps.artifact.entities.serializer.load.entities.ms,1749423600919000000,1749423658623000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1749423600919000000,1749423658623000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1749423600919000000,1749423658623000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1749423600919000000,1749423658623000000,0
jps.storage.jps.conf.reader.load.component.ms,1749423600919000000,1749423658623000000,11
workspaceModel.moduleBridge.facet.initialization.ms,1749423600919000000,1749423658623000000,90
workspaceModel.moduleManagerBridge.get.modules.ms,1749423600919000000,1749423658623000000,0
workspaceModel.do.save.caches.ms,1749423600919000000,1749423658623000000,495
jps.global.handle.before.change.events.ms,1749423600919000000,1749423658623000000,0
jps.library.entities.serializer.save.entities.ms,1749423600919000000,1749423658623000000,0
jps.facet.change.listener.process.change.events.ms,1749423600919000000,1749423658623000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1749423600919000000,1749423658623000000,6
jps.project.serializers.save.ms,1749423600919000000,1749423658623000000,1
workspaceModel.global.apply.state.to.project.ms,1749423600919000000,1749423658623000000,131
jps.save.changed.project.entities.ms,1749423600919000000,1749423658623000000,3
workspaceModel.mutableEntityStorage.entities.by.source.ms,1749423600919000000,1749423658623000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1749423600919000000,1749423658623000000,6
workspaceModel.mutableEntityStorage.replace.by.source.ms,1749423600919000000,1749423658623000000,11
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1749423600919000000,1749423658623000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1749423600919000000,1749423658623000000,0
jps.global.get.library.ms,1749423600919000000,1749423658623000000,0
jps.library.entities.serializer.load.entities.ms,1749423600919000000,1749423658623000000,2
workspaceModel.mutableEntityStorage.put.entity.ms,1749423600919000000,1749423658623000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1749423600919000000,1749423658623000000,8
workspaceModel.orphan.listener.update.ms,1749423600919000000,1749423658623000000,5
jps.save.global.entities.ms,1749423600919000000,1749423658623000000,4
workspaceModel.moduleManagerBridge.load.module.ms,1749423600919000000,1749423658623000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1749423600919000000,1749423658623000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1749423600919000000,1749423658623000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1749423600919000000,1749423658623000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1749423600919000000,1749423658623000000,0
jps.reload.project.entities.ms,1749423600919000000,1749423658623000000,0
jps.module.iml.entities.serializer.save.entities.ms,1749423600919000000,1749423658623000000,0
