# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.save.entities.ms,1749103336416000000,1749103354283000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1749103336416000000,1749103354283000000,10
jps.library.entities.serializer.load.entities.ms,1749103336416000000,1749103354283000000,4
jps.project.serializers.save.ms,1749103336416000000,1749103354283000000,1
jps.facet.change.listener.process.change.events.ms,1749103336416000000,1749103354283000000,1
jps.global.handle.before.change.events.ms,1749103336416000000,1749103354283000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1749103336416000000,1749103354283000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1749103336416000000,1749103354283000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1749103336416000000,1749103354283000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1749103336416000000,1749103354283000000,2
workspaceModel.load.cache.metadata.from.file.ms,1749103336416000000,1749103354283000000,30
workspaceModel.load.cache.from.file.ms,1749103336416000000,1749103354283000000,319
jps.global.get.library.ms,1749103336416000000,1749103354283000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1749103336416000000,1749103354283000000,241
workspaceModel.moduleManagerBridge.load.all.modules.ms,1749103336416000000,1749103354283000000,47
workspaceModel.mutableEntityStorage.modify.entity.ms,1749103336416000000,1749103354283000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1749103336416000000,1749103354283000000,0
jps.artifact.entities.serializer.load.entities.ms,1749103336416000000,1749103354283000000,4
workspaceModel.mutableEntityStorage.remove.entity.ms,1749103336416000000,1749103354283000000,0
workspaceModel.orphan.listener.update.ms,1749103336416000000,1749103354283000000,4
jps.save.global.entities.ms,1749103336416000000,1749103354283000000,3
jps.facet.change.listener.before.change.events.ms,1749103336416000000,1749103354283000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1749103336416000000,1749103354283000000,405
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1749103336416000000,1749103354283000000,0
workspaceModel.moduleBridge.update.option.ms,1749103336416000000,1749103354283000000,0
workspaceModel.moduleBridge.before.changed.ms,1749103336416000000,1749103354283000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1749103336416000000,1749103354283000000,2
workspaceModel.mutableEntityStorage.entities.ms,1749103336416000000,1749103354283000000,1
jps.load.project.to.empty.storage.ms,1749103336416000000,1749103354283000000,145
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1749103336416000000,1749103354283000000,0
workspaceModel.mutableEntityStorage.instances.count,1749103336416000000,1749103354283000000,40
jps.app.storage.content.writer.save.component.ms,1749103336416000000,1749103354283000000,1
jps.global.get.library.by.name.ms,1749103336416000000,1749103354283000000,0
workspaceModel.global.apply.state.to.project.ms,1749103336416000000,1749103354283000000,200
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1749103336416000000,1749103354283000000,0
workspaceModel.do.save.caches.ms,1749103336416000000,1749103354283000000,133
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1749103336416000000,1749103354283000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1749103336416000000,1749103354283000000,29
jps.facet.change.listener.init.bridge.ms,1749103336416000000,1749103354283000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1749103336416000000,1749103354283000000,0
jps.project.serializers.load.ms,1749103336416000000,1749103354283000000,86
workspaceModel.global.updates.ms,1749103336416000000,1749103354283000000,0
workspaceModel.save.cache.to.file.ms,1749103336416000000,1749103354283000000,119
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1749103336416000000,1749103354283000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1749103336416000000,1749103354283000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1749103336416000000,1749103354283000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1749103336416000000,1749103354283000000,1
jps.module.iml.entities.serializer.load.entities.ms,1749103336416000000,1749103354283000000,59
jps.global.initialize.library.bridges.after.loading.ms,1749103336416000000,1749103354283000000,2
workspaceModel.global.updates.count,1749103336416000000,1749103354283000000,0
