# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.JAVA.time.ns,1747160836880000000,1747160897108000000,1138469000
lexer.HTML.size.bytes,1747160836880000000,1747160897108000000,4578238
lexer.HTML.time.ns,1747160836880000000,1747160897108000000,126212500
parser.ECMAScript.6.time.ns,1747160836880000000,1747160897108000000,903598000
parser.CSS.time.ns,1747160836880000000,1747160897108000000,64395500
lexer.JAVA.size.bytes,1747160836880000000,1747160897108000000,4787265
parser.ECMAScript.6.size.bytes,1747160836880000000,1747160897108000000,9710476
parser.SCSS.time.ns,1747160836880000000,1747160897108000000,63312500
parser.TypeScript.size.bytes,1747160836880000000,1747160897108000000,2574616
lexer.Flow.JS.time.ns,1747160836880000000,1747160897108000000,14480400
parser.TypeScript.time.ns,1747160836880000000,1747160897108000000,1709533200
lexer.TypeScript.time.ns,1747160836880000000,1747160897108000000,93636200
writeAction.wait.ms,1747160836880000000,1747160897108000000,967
parser.JAVA.size.bytes,1747160836880000000,1747160897108000000,6692374
lexer.CSS.time.ns,1747160836880000000,1747160897108000000,23301000
lexer.JAVA.time.ns,1747160836880000000,1747160897108000000,203823900
parser.JSON.time.ns,1747160836880000000,1747160897108000000,15476400
parser.JSON.size.bytes,1747160836880000000,1747160897108000000,503
parser.Flow.JS.size.bytes,1747160836880000000,1747160897108000000,140172
DiskQueryRelay.taskWaitingTotalTimeUs,1747160836880000000,1747160897108000000,40989631
lexer.SCSS.time.ns,1747160836880000000,1747160897108000000,12980600
writeAction.max.wait.ms,1747160836880000000,1747160897108000000,219
lexer.CSS.size.bytes,1747160836880000000,1747160897108000000,612179
parser.HTML.size.bytes,1747160836880000000,1747160897108000000,4578238
lexer.JSON.size.bytes,1747160836880000000,1747160897108000000,503
lexer.ECMAScript.6.size.bytes,1747160836880000000,1747160897108000000,685332
DiskQueryRelay.tasksExecuted,1747160836880000000,1747160897108000000,163519
parser.SCSS.size.bytes,1747160836880000000,1747160897108000000,128330
writeAction.median.wait.ms,1747160836880000000,1747160897108000000,700
lexer.Flow.JS.size.bytes,1747160836880000000,1747160897108000000,140172
DiskQueryRelay.taskExecutionTotalTimeUs,1747160836880000000,1747160897108000000,26030447
parser.HTML.time.ns,1747160836880000000,1747160897108000000,124177900
DiskQueryRelay.tasksRequested,1747160836880000000,1747160897108000000,163519
parser.CSS.size.bytes,1747160836880000000,1747160897108000000,612179
parser.Flow.JS.time.ns,1747160836880000000,1747160897108000000,178532700
lexer.JSON.time.ns,1747160836880000000,1747160897108000000,162000
lexer.ECMAScript.6.time.ns,1747160836880000000,1747160897108000000,60754400
writeAction.count,1747160836880000000,1747160897108000000,127
lexer.SCSS.size.bytes,1747160836880000000,1747160897108000000,128330
lexer.TypeScript.size.bytes,1747160836880000000,1747160897108000000,2574616
Indexes.entries.lookups,1747160836880000000,1747160897108000000,1527
Indexes.entries.lookupDurationMaxMs,1747160836880000000,1747160897108000000,0.0
Indexing.cache.totalCacheAccesses,1747160836880000000,1747160897108000000,16520285
Indexes.allKeys.lookupDuration90PMs,1747160836880000000,1747160897108000000,0.0
Indexes.entries.lookupDuration90PMs,1747160836880000000,1747160897108000000,0.0
Indexing.cache.totalCacheEvicted,1747160836880000000,1747160897108000000,1906402
Indexes.allKeys.lookupDurationMaxMs,1747160836880000000,1747160897108000000,0.0
Indexing.writesQueuedMax,1747160836880000000,1747160897108000000,0
Indexes.stubs.lookupDurationAvgMs,1747160836880000000,1747160897108000000,0.0
Indexes.allKeys.lookups,1747160836880000000,1747160897108000000,2
Indexes.stubs.lookups,1747160836880000000,1747160897108000000,7115
Indexing.writer_1.totalTimeSpentWritingMs,1747160836880000000,1747160897108000000,7221
Indexes.stubs.lookupDuration90PMs,1747160836880000000,1747160897108000000,0.0
Indexing.cache.totalCacheMisses,1747160836880000000,1747160897108000000,2003021
Indexes.allKeys.lookupDurationAvgMs,1747160836880000000,1747160897108000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1747160836880000000,1747160897108000000,4973
Indexing.writer_0.totalTimeSpentWritingMs,1747160836880000000,1747160897108000000,11858
Indexes.entries.lookupDurationAvgMs,1747160836880000000,1747160897108000000,0.0
Indexing.writesQueuedMin,1747160836880000000,1747160897108000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1747160836880000000,1747160897108000000,2923
Indexing.totalTimeIndexersSleptMs,1747160836880000000,1747160897108000000,82149
Indexes.stubs.lookupDurationMaxMs,1747160836880000000,1747160897108000000,0.0
StreamlinedBlobStorage.recordsRelocated,1747160836880000000,1747160897108000000,0
DirectByteBufferAllocator.reclaimed,1747160836880000000,1747160897108000000,0
StorageLockContext.competingThreads.max,1747160836880000000,1747160897108000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1747160836880000000,1747160897108000000,203051
FilePageCache.pageLoads,1747160836880000000,1747160897108000000,602
FileChannelInterruptsRetryer.totalRetriedAttempts,1747160836880000000,1747160897108000000,0
FilePageCache.maxRegisteredFiles,1747160836880000000,1747160897108000000,4609
StreamlinedBlobStorage.recordsAllocated,1747160836880000000,1747160897108000000,34731
MappedFileStorage.storages,1747160836880000000,1747160897108000000,16
FilePageCache.totalPageLoadsUs,1747160836880000000,1747160897108000000,1558426
MappedFileStorage.totalPagesMapped,1747160836880000000,1747160897108000000,16
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747160836880000000,1747160897108000000,0
FilePageCache.uncachedFileAccess,1747160836880000000,1747160897108000000,3137
MappedFileStorage.totalBytesMapped,1747160836880000000,1747160897108000000,202637312
StreamlinedBlobStorage.recordsDeleted,1747160836880000000,1747160897108000000,14
DirectByteBufferAllocator.disposed,1747160836880000000,1747160897108000000,1575
FilePageCache.pageHits,1747160836880000000,1747160897108000000,262428
StorageLockContext.competingThreads.avg,1747160836880000000,1747160897108000000,0.0
DirectByteBufferAllocator.hits,1747160836880000000,1747160897108000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1747160836880000000,1747160897108000000,1573
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747160836880000000,1747160897108000000,720348
DirectByteBufferAllocator.misses,1747160836880000000,1747160897108000000,2175
FilePageCache.maxCacheSizeInBytes,1747160836880000000,1747160897108000000,629145600
FilePageCache.capacityInBytes,1747160836880000000,1747160897108000000,629145600
FilePageCache.totalPageDisposalsUs,1747160836880000000,1747160897108000000,4704
FilePageCache.disposedBuffers,1747160836880000000,1747160897108000000,1575
StorageLockContext.competingThreads.90P,1747160836880000000,1747160897108000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747160836880000000,1747160897108000000,629145600
FilePageCache.pageFastCacheHits,1747160836880000000,1747160897108000000,5878061
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1747160836880000000,1747160897108000000,2733189
workspaceModel.orphan.listener.update.ms,1747160836880000000,1747160897108000000,7
workspaceModel.moduleManagerBridge.load.module.ms,1747160836880000000,1747160897108000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1747160836880000000,1747160897108000000,0
jps.storage.jps.conf.reader.load.component.ms,1747160836880000000,1747160897108000000,4
workspaceModel.delayed.project.synchronizer.sync.ms,1747160836880000000,1747160897108000000,0
jps.facet.change.listener.process.change.events.ms,1747160836880000000,1747160897108000000,2
workspaceModel.global.updates.count,1747160836880000000,1747160897108000000,1
jps.project.serializers.save.ms,1747160836880000000,1747160897108000000,159
workspaceModel.mutableEntityStorage.add.entity.ms,1747160836880000000,1747160897108000000,92
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747160836880000000,1747160897108000000,7
workspaceModel.do.save.caches.ms,1747160836880000000,1747160897108000000,302
