# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1747192413620000000,1747192473606000000,0
FilePageCache.pageFastCacheHits,1747192413620000000,1747192473606000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747192413620000000,1747192473606000000,629145600
StorageLockContext.competingThreads.avg,1747192413620000000,1747192473606000000,0.0
StorageLockContext.competingThreads.90P,1747192413620000000,1747192473606000000,0
StreamlinedBlobStorage.recordsDeleted,1747192413620000000,1747192473606000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1747192413620000000,1747192473606000000,0
StreamlinedBlobStorage.recordsAllocated,1747192413620000000,1747192473606000000,0
FilePageCache.pageLoads,1747192413620000000,1747192473606000000,0
MappedFileStorage.storages,1747192413620000000,1747192473606000000,16
DirectByteBufferAllocator.hits,1747192413620000000,1747192473606000000,0
StorageLockContext.competingThreads.max,1747192413620000000,1747192473606000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747192413620000000,1747192473606000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747192413620000000,1747192473606000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1747192413620000000,1747192473606000000,0
FilePageCache.maxRegisteredFiles,1747192413620000000,1747192473606000000,4606
StreamlinedBlobStorage.recordsRelocated,1747192413620000000,1747192473606000000,0
FilePageCache.totalPageDisposalsUs,1747192413620000000,1747192473606000000,0
DirectByteBufferAllocator.disposed,1747192413620000000,1747192473606000000,0
DirectByteBufferAllocator.reclaimed,1747192413620000000,1747192473606000000,0
DirectByteBufferAllocator.misses,1747192413620000000,1747192473606000000,0
FilePageCache.capacityInBytes,1747192413620000000,1747192473606000000,629145600
MappedFileStorage.totalPagesMapped,1747192413620000000,1747192473606000000,16
FilePageCache.uncachedFileAccess,1747192413620000000,1747192473606000000,0
FilePageCache.disposedBuffers,1747192413620000000,1747192473606000000,0
MappedFileStorage.totalBytesMapped,1747192413620000000,1747192473606000000,202637312
MappedFileStorage.totalTimeSpentOnMappingUs,1747192413620000000,1747192473606000000,226738
FilePageCache.maxCacheSizeInBytes,1747192413620000000,1747192473606000000,629145600
FilePageCache.totalPageLoadsUs,1747192413620000000,1747192473606000000,0
FilePageCache.pageHits,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsStoredSize,1747192413620000000,1747192473606000000,0
VFS.fileChildByName,1747192413620000000,1747192473606000000,108
VFS.contentStorage.recordsDeduplicated,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsReadSize,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1747192413620000000,1747192473606000000,0
VFS.fileByIdCache.hits,1747192413620000000,1747192473606000000,0
FileNameCache.totalMisses,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsRead,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsStoredCompressed,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsStored,1747192413620000000,1747192473606000000,0
VFS.folderCaseSensitivityReads,1747192413620000000,1747192473606000000,0
VFS.invertedFileNameIndex.requests,1747192413620000000,1747192473606000000,0
FileNameCache.queries,1747192413620000000,1747192473606000000,0
VFS.fileByIdCache.misses,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsUncompressedSize,1747192413620000000,1747192473606000000,0
VFS.contentStorage.recordsReadDecompressed,1747192413620000000,1747192473606000000,0
writeAction.count,1747192413620000000,1747192473606000000,2
DiskQueryRelay.taskExecutionTotalTimeUs,1747192413620000000,1747192473606000000,0
DiskQueryRelay.tasksExecuted,1747192413620000000,1747192473606000000,0
writeAction.wait.ms,1747192413620000000,1747192473606000000,0
DiskQueryRelay.tasksRequested,1747192413620000000,1747192473606000000,0
writeAction.max.wait.ms,1747192413620000000,1747192473606000000,171
writeAction.median.wait.ms,1747192413620000000,1747192473606000000,700
DiskQueryRelay.taskWaitingTotalTimeUs,1747192413620000000,1747192473606000000,0
JVM.totalDirectByteBuffersBytes,1747192413620000000,1747192473606000000,630599125
MEM.fileMappingsRamBytes,1747192413620000000,1747192473606000000,22175744
JVM.totalTimeToSafepointsMs,1747192413620000000,1747192473606000000,104
OS.loadAverage,1747192413620000000,1747192473606000000,-1.0
MEM.ramPlusSwapMinusFileMappingsBytes,1747192413620000000,1747192473606000000,2452197376
MEM.ramMinusFileMappingsBytes,1747192413620000000,1747192473606000000,1488998400
JVM.newThreadsCount,1747192413620000000,1747192473606000000,4
JVM.usedNativeBytes,1747192413620000000,1747192473606000000,505884920
JVM.GC.collections,1747192413620000000,1747192473606000000,0
MEM.ramBytes,1747192413620000000,1747192473606000000,1511174144
JVM.totalSafepointCount,1747192413620000000,1747192473606000000,6
JVM.threadCount,1747192413620000000,1747192473606000000,66
JVM.usedHeapBytes,1747192413620000000,1747192473606000000,637874624
JVM.totalCpuTimeMs,1747192413620000000,1747192473606000000,2141
JVM.committedHeapBytes,1747192413620000000,1747192473606000000,891289600
JVM.totalTimeAtSafepointsMs,1747192413620000000,1747192473606000000,202
JVM.GC.collectionTimesMs,1747192413620000000,1747192473606000000,0
JVM.maxThreadCount,1747192413620000000,1747192473606000000,131
JVM.totalBytesAllocated,1747192413620000000,1747192473606000000,122523104
JVM.maxHeapBytes,1747192413620000000,1747192473606000000,891289600
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1747192413620000000,1747192473606000000,0
jps.module.iml.entities.serializer.save.entities.ms,1747192413620000000,1747192473606000000,0
workspaceModel.global.apply.state.to.project.ms,1747192413620000000,1747192473606000000,0
jps.load.project.to.empty.storage.ms,1747192413620000000,1747192473606000000,0
jps.project.serializers.load.ms,1747192413620000000,1747192473606000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747192413620000000,1747192473606000000,0
workspaceModel.load.cache.from.file.ms,1747192413620000000,1747192473606000000,0
jps.app.storage.content.reader.load.component.ms,1747192413620000000,1747192473606000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1747192413620000000,1747192473606000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747192413620000000,1747192473606000000,0
jps.artifact.entities.serializer.save.entities.ms,1747192413620000000,1747192473606000000,0
workspaceModel.mutableEntityStorage.instances.count,1747192413620000000,1747192473606000000,0
jps.storage.jps.conf.reader.load.component.ms,1747192413620000000,1747192473606000000,0
jps.global.handle.before.change.events.ms,1747192413620000000,1747192473606000000,0
jps.artifact.entities.serializer.load.entities.ms,1747192413620000000,1747192473606000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747192413620000000,1747192473606000000,0
